"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"370","BMC Musculoskelet Disord","BMC Musculoskeletal Disorders","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"371","BMC Nephrol","BMC Nephrology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"372","BMC Neurol","BMC Neurology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"373","BMC Neurosci","BMC Neuroscience","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"374","BMC Nucl Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"375","BMC Nurs","BMC Nursing","Nursing","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"376","BMC Ophthalmol","BMC Ophthalmology","Ophthalmology And Optometry","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"377","BMC Oral Health","BMC Oral Health","Dentistry","Chosen.by.ERA","Medical and health sciences","Dentistry"
"378","BMC Palliat Care","BMC Palliative Care","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"379","BMC Pediatr","BMC Pediatrics","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"380","BMC Pharmacol","BMC Pharmacology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"381","BMC Pharmacol Toxicol","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"382","BMC Physiol","BMC Physiology","Physiology ","Chosen.by.ERA","Biological sciences","Physiology"
"383","BMC Plant Biol","BMC Plant Biology","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"384","BMC Pregnancy Childbirth","BMC Pregnancy and Childbirth","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"385","BMC Proc","","Multidisciplinary","Chosen.by.Luke","Multidisciplinary","Multidisciplinary"
"386","BMC Psychiatry","BMC Psychiatry","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"387","BMC Public Health","BMC Public Health","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"388","BMC Pulm Med","BMC Pulmonary Medicine","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"389","BMC Res Notes","BMC Research Notes","Other Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"390","BMC Sports Sci Med Rehabil","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"391","BMC Struct Biol","BMC Structural Biology","Other Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"392","BMC Surg","BMC Surgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"393","BMC Syst Biol","BMC Systems Biology","Other Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"394","BMC Urol","BMC Urology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"395","BMC Vet Res","BMC Veterinary Research","Veterinary Sciences","Chosen.by.ERA","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"396","BMC Womens Health","BMC Women's Health","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"397","BMJ","BMJ: British Medical Journal","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"398","BMJ Open","","Multidisciplinary","Chosen.by.Luke","Multidisciplinary","Multidisciplinary"
"399","BMJ Qual Saf","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"400","BMJ Qual Saf Health Care","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"401","BMJ Support Palliat Care","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"402","Bone","Bone","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"403","Bone Joint Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"404","Bone Marrow Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"405","Bone Marrow Transplant","Bone Marrow Transplantation","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"406","Bonekey Rep","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"407","Br Dent J","British Dental Journal (BDJ)","Dentistry","Chosen.by.ERA","Medical and health sciences","Dentistry"
"408","Br J Anaesth","British Journal of Anaesthesia","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"409","Br J Cancer","British Journal of Cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"410","Br J Clin Pharmacol","British Journal of Clinical Pharmacology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"411","Br J Med Med Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"412","Br J Neurosurg","British Journal of Neurosurgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"413","Br J Ophthalmol","British Journal of Ophthalmology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"414","Br J Pharmacol","British Journal of Pharmacology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"415","Br J Psychiatry","British Journal of Psychiatry","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"416","Br J Sports Med","British Journal of Sports Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"417","Brain","Brain: a journal of neurology ","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"418","Brain Behav","Brain, Behavior and Evolution","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"419","Brain Behav Immun","Brain, Behavior, and Immunity","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"420","Brain Cogn","Brain and Cognition","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"421","Brain Imaging Behav","Brain Imaging and Behavior: an international journal","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"422","Brain Inj","Brain Injury","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"423","Brain Lang","Brain and Language","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"424","Brain Pathol","Brain Pathology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"425","Brain Res","Brain Research","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"426","Brain Res Bull","Brain Research Bulletin","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"427","Brain Stimul","Brain Stimulation","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"428","Brain Struct Funct","Brain Structure and Function","Medical Physiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"429","Brain Topogr","Brain Topography: journal of functional neurophysiology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"430","Brain Tumor Res Treat","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"431","Braz J Med Biol Res","Brazilian Journal of Medical and Biological Research","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"432","Braz J Microbiol","Brazilian Journal of Microbiology","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"433","Breast Cancer","Breast Cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"434","Breast Cancer (Auckl)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"435","Breast Cancer (Dove Med Press)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"436","Breast Cancer Res","Breast Cancer Research","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"437","Breast Cancer Res Treat","Breast Cancer Research and Treatment","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"438","Breed Sci","Breeding Science","Crop And Pasture Production","Chosen.by.ERA","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"439","Bull Environ Contam Toxicol","Bulletin of Environmental Contamination and Toxicology","Chemical Sciences","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"440","Calcif Tissue Int","Calcified Tissue International","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"441","Can Geriatr J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"442","Can J Anaesth","Canadian Journal of Anaesthesia","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"443","Cancer","Cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"444","Cancer Biol Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"445","Cancer Biol Ther","Cancer Biology and Therapy","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"446","Cancer Causes Control","Cancer Causes and Control","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"447","Cancer Cell","Cancer Cell","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"448","Cancer Cell Int","Cancer Cell International","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"449","Cancer Chemother Pharmacol","Cancer Chemotherapy and Pharmacology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"450","Cancer Gene Ther","Cancer Gene Therapy","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"451","Cancer Immunol Immunother","Cancer Immunology Immunotherapy","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"452","Cancer Inform","Cancer Informatics","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"453","Cancer Invest","Cancer Investigation","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"454","Cancer Manag Res","Cancer Management and Research","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"455","Cancer Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"456","Cancer Microenviron","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"457","Cancer Res Treat","Cancer Treatment and Research","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"458","Cancer Sci","Cancer Science","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"459","Cancers (Basel)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"460","Carbon Balance Manag","Carbon Balance and Management","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"461","Carcinogenesis","Carcinogenesis","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"462","Cardiol Res Pract","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"463","Cardiovasc Diabetol","Cardiovascular Diabetology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"464","Cardiovasc Drugs Ther","Cardiovascular Drugs and Therapy","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"465","Cardiovasc Intervent Radiol","Cardiovascular and Interventional Radiology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"466","Cardiovasc J Afr","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"467","Cardiovasc Psychiatry Neurol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"468","Cardiovasc Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"469","Cardiovasc Ther","Cardiovascular Therapeutics","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"470","Cardiovasc Toxicol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"471","Cardiovasc Ultrasound","Cardiovascular Ultrasound","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"472","Cartilage","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"473","Case Rep Crit Care","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"474","Case Rep Endocrinol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"475","Case Rep Gastroenterol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"476","Case Rep Oncol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"477","Case Rep Ophthalmol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"478","Case Rep Psychiatry","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"479","CBE Life Sci Educ","CBE Life Sciences Education","Curriculum And Pedagogy ","Chosen.by.ERA","Education","Education"
"480","Cell","Cell","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"481","Cell Biochem Biophys","Cell Biochemistry and Biophysics","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"482","Cell Biol Int Rep (2010)","Cell Biology International","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"483","Cell Biol Toxicol","Cell Biology and Toxicology: an international journal devoted to research at the cellular level","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"484","Cell Biosci","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"485","Cell Calcium","Cell Calcium","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"486","Cell Commun Signal","Cell Communication and Signaling","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"487","Cell Cycle","Cell Cycle","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"488","Cell Death Differ","Cell Death and Differentiation","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"489","Cell Death Dis","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"490","Cell Div","Cell Division","Other Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"491","Cell Host Microbe","Cell Host and Microbe","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"492","Cell Metab","Cell Metabolism","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"493","Cell Microbiol","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"494","Cell Mol Bioeng","","Biomedical Engineering ","Chosen.by.Luke","Engineering","Biomedical Engineering"
"495","Cell Mol Immunol","","Immunology","Chosen.by.Luke","Medical and health sciences","Immunology"
"496","Cell Mol Life Sci","Cellular and Molecular Life Sciences","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"497","Cell Mol Neurobiol","Cellular and Molecular Neurobiology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"498","Cell Oncol (Dordr)","Cellular Oncology","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"499","Cell Prolif","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"500","Cell Rep","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"501","Cell Res","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"502","Cell Signal","Cellular Signalling","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"503","Cell Stem Cell","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"504","Cell Stress Chaperones","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"505","Cell Tissue Bank","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"506","Cell Tissue Res","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"507","Cells","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"508","Cent European J Urol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"509","Cephalalgia","Cephalalgia: an international journal of headache","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"510","Cereb Cortex","Cerebral Cortex","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"511","Cerebellum","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"512","Cerebrospinal Fluid Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"513","Cerebrovasc Dis","Cerebrovascular Diseases","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"514","Cerebrovasc Dis Extra","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"515","Channels (Austin)","Channels","Other Physical Sciences","Chosen.by.ERA","Physical sciences","Informatics, mathematics and physics"
"516","Chem Biol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"517","Chem Cent J","","Chemical Sciences","Chosen.by.Luke","Chemical sciences","Chemistry and geology"
"518","Chem Res Toxicol","Chemical Research in Toxicology","Inorganic Chemistry","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"519","Chem Senses","Chemical Senses","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"520","ChemMedChem","ChemMedChem: chemistry enabling drug discovery","Medicinal And Biomolecular Chemistry","Chosen.by.ERA","Chemical sciences","Biochemistry And Cell Biology"
"521","Chemoecology","Chemoecology: evolutionary, mechanistic and environmental approaches to chemically-mediated interaction","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"522","Chemosens Percept","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"523","Chemother Res Pract","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"524","Chest","Chest","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"525","Child Adolesc Psychiatry Ment Health","Child and Adolescent Mental Health","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"526","Child Care Health Dev","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"527","Child Indic Res","Child Indicators Research","Sociology","Chosen.by.ERA","Studies in human society","Psychology and sociology"
"528","Child Neuropsychol","Child Neuropsychology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"529","Child Psychiatry Hum Dev","Child Psychiatry and Human Development","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"530","Child Youth Care Forum","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"531","Childs Nerv Syst","Child's Nervous System","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"532","Chin J Cancer","Chinese journal of cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"533","Chin Med","Chinese Medicine","Complementary And Alternative Medicine","Chosen.by.ERA","Medical and health sciences","Complementary And Alternative Medicine"
"534","Chiropr Man Therap","Chiropractic and Manual Therapies","Complementary And Alternative Medicine","Chosen.by.ERA","Medical and health sciences","Complementary And Alternative Medicine"
"535","Chiropr Osteopat","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"536","Cholesterol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"537","Chonnam Med J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"538","Chromosoma","Chromosoma: biology of the nucleus","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"539","Chromosome Res","Chromosome Research: the international journal for all aspects of chromosome and nuclear biology","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"540","Chronobiol Int","Chronobiology International: the journal of biological and medical rhythm research","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"541","Cilia","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"542","Clin Auton Res","Clinical Autonomic Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"543","Clin Biomech (Bristol, Avon)","Clinical Biomechanics","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"544","Clin Cardiol","Clinical Cardiology (Hoboken): an indexed and peer-reviewed journal for advances in the treatment of cardiovascular disease","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"545","Clin Chim Acta","","Chemical Sciences","Chosen.by.Luke","Chemical sciences","Chemistry and geology"
"546","Clin Cosmet Investig Dent","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"547","Clin Cosmet Investig Dermatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"548","Clin Dev Immunol","","Immunology","Chosen.by.Luke","Medical and health sciences","Immunology"
"549","Clin Drug Investig","Clinical Drug Investigation","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"550","Clin Endosc","Clinical Endocrinology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"551","Clin Epidemiol","Clinical Epidemiology","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"552","Clin Epigenetics","","Genetics ","Chosen.by.Luke","Biological sciences","Genetics"
"553","Clin Exp Allergy","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"554","Clin Exp Gastroenterol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"555","Clin Exp Hypertens","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"556","Clin Exp Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"557","Clin Exp Metastasis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"558","Clin Exp Nephrol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"559","Clin Exp Otorhinolaryngol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"560","Clin Exp Reprod Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"561","Clin Exp Vaccine Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"562","Clin Genet","Clinical Genetics: an international journal of genetics and molecular medicine","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"563","Clin Immunol","Clinical Immunology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"564","Clin Infect Dis","Clinical Infectious Diseases","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"565","Clin Interv Aging","Clinical Interventions in Aging","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"566","Clin Kidney J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"567","Clin Med Insights Arthritis Musculoskelet Disord","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"568","Clin Med Insights Cardiol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"569","Clin Med Insights Case Rep","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"570","Clin Med Insights Circ Respir Pulm Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"571","Clin Med Insights Ear Nose Throat","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"572","Clin Med Insights Endocrinol Diabetes","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"573","Clin Med Insights Gastroenterol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"574","Clin Med Insights Oncol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"575","Clin Med Insights Pediatr","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"576","Clin Med Insights Reprod Health","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"577","Clin Med Insights Womens Health","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"578","Clin Microbiol Infect","Clinical Microbiology and Infection","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"579","Clin Mol Allergy","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"580","Clin Mol Hepatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"581","Clin Neurophysiol","Clinical Neurophysiology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"582","Clin Neuropsychol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"583","Clin Nutr Res","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
"584","Clin Oncol (R Coll Radiol)","Clinical Oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"585","Clin Ophthalmol","Clinical Ophthalmology","Ophthalmology And Optometry","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"586","Clin Oral Investig","Clinical Oral Investigations","Dentistry","Chosen.by.ERA","Medical and health sciences","Dentistry"
"587","Clin Orthop Relat Res","Clinical Orthopaedics and Related Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
